x0, A, sigma, mux, kappa, phi0, C, std_A, std_sigma, std_mux, std_kappa, std_phi0, std_C
0.0005,1222.85984756758,0.0011611176154921923,0.0010212850345388557,3044.933038251589,2.433522593045965,0.9446214649297062,24.029027265410164,4.405279741487664e-06,6.860274981514612e-06,6.097500128782938,0.008495537604521146,0.0050272012822893345
0.0,1329.8976104921678,0.0011900182815167634,0.0006782029697421075,3082.563696612244,2.4086637463230276,0.9517131779645596,17.61630375192969,4.595774374560782e-06,6.0235509350526726e-06,6.763960930269831,0.007047082860682985,0.0042899740031772235
0.001,958.2546558181313,0.0011246664353640027,0.0013010206304030136,3006.779080631341,2.416620591705381,0.9446349016392483,10.279371879588135,5.031492449590701e-06,7.3265110035587185e-06,8.332559816005924,0.01164087472158197,0.006461652200547688
-0.0005,1530.3135203704346,0.0012007264327279822,0.00034762047300039914,3136.1653651603397,2.398561116381703,0.9586337395517236,146.55738023695164,4.674337610949673e-06,6.6589462071288484e-06,6.427911450660537,0.006039288875485604,0.004793319614239139
-0.001,1252.7483492669378,0.0011835776101642296,-6.255670389235131e-06,3176.134279427753,2.391994821105662,0.9618507525108372,28.04481511872864,5.062396141859993e-06,6.0887585052168936e-06,6.4444146441677415,0.006118588119990421,0.0034567291156196115
